SnapshotDate,DataSource,Area/Building & Location (Room/Level),Mechanical Activity (System),Original Duration (Days),Current Progress %,Key Predecessor Activity,Predecessor Finish Date,Calculated Mech. Start Date,Calculated Mech. Finish Date,Remarks / Justification,HVAC Manpower,Firefighting Manpower,Fire Alarm Manpower,Security Subcontractor,Total Manpower
2025-09-01,Mechanical Plan,"PE-263 380 KV GIS Building Ground Floor, Basement",Security System ( Cable pulling),0,,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building DDC PANEL,DDC PANEL TERMATIONS,0,30%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building External Ducts for Pacu 4A&4B,HVAC System,0,90 %,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building External Ducts for Pacu 5A&5B,HVAC System,0,10%,,,,,Materials are available ,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 380 KV GIS Building Ground floor ( LCC PANEL ),Fire alarm ( device installation ),0,60%,,,,,detectors bases inside LCC completed .remaining will be done with cylinder delivery.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 380 KV GIS Building Basement,Fire Alarm ( conduiting+cabling ),15,90 %,Inferred: Civil/Structural Works Complete for Basement,2025-04-30,2025-05-01,2025-05-07,almost conduiting completed .remianing will be short drops .,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 380 KV GIS Building DDC PANEL,DDC PANEL TERMATIONS,0,0٫4,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 380 KV GIS Building Basement,FA ( Device Installation ),0,30%,,,,,detectors bases in progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,"PE-263 380 KV GIS
TUNNEL TUNNEL",Fire Alarm ( conduiting+cabling ),15,80 %,,2026-04-30,2026-05-01,2026-05-15,completed,21,12,11,11,55
2025-09-01,Mechanical Plan,"PE-263 380 KV GIS
TUNNEL TUNNEL",FA ( Device Installation ),0,35%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 380 KV GIS Building Roof,HVAC System,7,0٫98,Inferred: Civil/Structural Works Complete for Roof,2025-04-30,2025-05-01,2025-05-08,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 380 KV GIS Building ceiling,HVAC System,1,0٫98,GIS Hall cable Trays,2025-06-08,2025-06-09,2025-06-10,"Depends on Cable Trays, but progress is very high (97%). Might finish before trays if remaining work is independent. (Needs review)",21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 380 KV GIS Building Basement,HVAC System,3,0,Inferred: Civil trunch not cleaning yet ,2025-04-30,2025-05-01,2025-05-04,Civil works nearly ready. Immediate start possible.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building GROUND FLOOR,Firefighting,20,90 %,Inferred: Civil/Structural Works Complete for Ceiling,2025-04-30,2025-05-01,2025-05-21,piping network for LCC FM-200 systems completed. remaining will completed upon delivery of cylinders.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building GROUND FLOOR,cylinder installation,0,0 %,,,,,FM-200 cylinders not delivered.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building GROUND FLOOR( LCC PANELS),Fire Alarm ( conduiting + cabling ),0,0٫8,,,,,conduiting & cabling for LCC completed .,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building GROUND FLOOR( LCC PANELS),Device installation,0,0٫5,,,,,detectors bases inside LCC installed. Remaining will be completed upon delivery of CYlinders.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building ceiling,Fire Alarm ( conduiting + cabling ),20,90 %,Inferred: Civil/Structural Works Complete for Ceiling,2025-04-30,2025-05-01,2025-05-09,conduiting almost completed ,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building ceiling,,0,0٫25,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building Basement,Fire Alarm ( conduiting + cabling ),20,0٫9,Inferred: Civil/Structural Works Complete for Basement,2025-04-30,2025-05-01,2025-05-20,conduiting & cabling almost done. some short will be completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building Basement,FA ( Device Installation ),0,35%,,,,,detectors bases installed .half,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building Tunnel,Fire Alarm ( conduiting+cabling ),20,80 %,Inferred: Civil/Structural Works Complete for Basement,2025-04-30,2025-05-01,2025-05-20,Duration adjusted based on 90% progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building Tunnel,FA ( Device Installation ),0,30%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building GROUND,DDC PANEL TEMANTIONS,0,0٫5,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building Roof,HVAC System,5,0٫98,Inferred: Civil/Structural Works Complete for Roof,2025-05-04,2025-05-01,2025-05-10,Civil works for roof assumed ready.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building ceiling (installation),HVAC System,3,1,Inferred: Civil/Structural Works Complete for Ceiling,2025-04-30,2025-05-01,2025-05-04,Duration adjusted based on 80% progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building ceiling (TEST),HVAC System,3,0,Inferred: Civil/Structural Works Complete for Ceiling,2025-04-30,2025-08-01,2025-08-10,Duration adjusted based on 80% progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 110 kV GIS Building Basement,HVAC System,3,0٫53,Inferred: Civil trunch not cleaning yet ,2025-04-30,2025-05-01,2025-05-04,Civil works nearly ready. Immediate start possible.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building SW GR Room,Firefighting,2,1,SWGR Panels Installation,2025-04-23,2025-05-01,2025-05-03,piping network & support installation completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building SW GR Room,Fire Alarm ( conduiting + cabling ),3,0٫9,SWGR Panels Installation,2025-04-23,2025-05-01,2025-05-04,conduiting completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building SW GR Room,FA ( Device Installation ),0,40%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building SW GR Room (installation),HVAC System,10,1,SWGR Panels Installation,2025-04-23,2025-05-01,2025-05-02,Predecessor completed. Duration adjusted based on 90% progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building SW GR Room  (TEST),HVAC System,10,0,SWGR Panels Installation,2025-04-23,2025-08-01,2025-08-10,Predecessor completed. Duration adjusted based on 90% progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Control Room,Firefighting,12,0٫9,SAS Panels,2025-07-22,2025-07-23,2025-07-27,piping network & support installation completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Control Room,Fire Alarm ( conduiting+cabling ),12,0٫86,SAS Panels,2025-07-22,2025-07-23,2025-07-25,Depends on SAS Panel arrival/installation. Duration adjusted (2 days) for rough-in completion based on 85% progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Control Room,FA ( Device Installation ),0,40%,,,,,on going,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Control Room,HVAC System,10,0٫98,SAS Panels,2025-07-22,2025-07-23,2025-07-25,Depends on SAS Panel installation (Predecessor Report logic). Duration adjusted based on 87% progress. (Note: Overall Plan mentioned HVAC FAT on 26-May).,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Conference Room,Firefighting,12,100 %,Inferred: Civil/Structural Works Complete for Conf. Room,2025-04-30,2025-05-01,2025-05-03,piping network & support installation completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Conference Room,Fire Alarm ( conduiting+cabling ),12,0٫9,Inferred: Civil/Structural Works Complete for Conf. Room,2025-04-30,2025-05-01,2025-05-03,Civil ready. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Conference Room,FA ( Device Installation ),0,40%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Conference Room,HVAC System,10,0٫8,Inferred: Civil/Structural Works Complete for Conf. Room,2025-04-30,2025-05-01,2025-05-08,Civil ready. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Battery Room,Firefighting,12,1,Batteries installation,2025-05-27,2025-05-28,2025-05-30,piping network & support installation completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Battery Room,Fire Alarm ( conduiting+cabling ),12,0٫65,Batteries installation,2025-05-27,2025-05-28,2025-06-06,Depends on Battery installation. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Battery Room,FA ( Device Installation ),0,35%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Battery Room,HVAC System,10,0٫9,Batteries installation,2025-05-27,2025-05-28,2025-06-07,"Depends on Battery installation. Full duration used (Progress Sheet shows 0% & ""due to civil"", but Civil is nearly ready & Batteries are the driver per Report).",21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Communication Room,Firefighting,12,0٫92,Telecom Panels,2025-05-03,2025-05-04,2025-05-07,piping network & supports installtion completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Communication Room,Fire Alarm ( conduiting+cabling ),12,0٫95,Telecom Panels,2025-05-03,2025-05-04,2025-05-08,conduiting & cabling completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Communication Room,FA ( Device Installation ),0,40%,,,,,on going,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Communication Room (installation),HVAC System,2,1,Telecom Panels,2025-05-03,2025-05-04,2025-05-06,Depends on Telecom Panel installation. Duration adjusted. (Note: Overall Plan mentioned HVAC FAT on 26-May).,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Communication Room  (TEST),HVAC System,2,0,Telecom Panels,2025-05-03,2025-08-01,2025-08-10,Depends on Telecom Panel installation. Duration adjusted. (Note: Overall Plan mentioned HVAC FAT on 26-May).,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Aux Room,Firefighting,3,0٫9,AC & DC panels,2025-05-05,2025-05-06,2025-05-09,piping network & supports installtion completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Aux Room,Fire Alarm ( conduiting+cabling ),12,0٫9,AC & DC panels,2025-05-05,2025-05-06,2025-05-09,conduiting & cabling completed.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Aux Room,FA ( Device Installation ),0,40%,,,,,on going,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Aux Room (installation),HVAC System,10,1,AC & DC panels,2025-05-05,2025-05-06,2025-05-07,Depends on AC/DC Panel installation. Duration adjusted. (Note: Overall Plan mentioned HVAC FAT on 26-May).,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Aux Room  (TEST),HVAC System,10,0,AC & DC panels,2025-05-05,2025-08-01,2025-08-10,Depends on AC/DC Panel installation. Duration adjusted. (Note: Overall Plan mentioned HVAC FAT on 26-May).,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Office,Fire Alarm ( conduiting+cabling ),12,0٫9,Inferred: Civil/Structural Works Complete for Office,2025-04-30,2025-05-01,2025-05-13,Civil ready.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Office,FA ( Device Installation ),0,53%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Office,HVAC System,10,0٫8,Inferred: Civil/Structural Works Complete for Office,2025-04-30,2025-05-01,2025-05-08,Civil ready. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Relay Test,Fire Alarm ( conduiting+cabling ),12,85%,Inferred: Civil/Structural Works Complete for Relay Test Room,2025-04-30,2025-05-01,2025-05-13,Civil ready.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Relay Test,FA ( Device Installation ),0,40%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Relay Test,HVAC System,10,0٫8,Inferred: Civil/Structural Works Complete for Relay Test Room,2025-04-30,2025-05-01,2025-05-08,Civil ready. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Toilet,Fire Alarm ( conduiting+cabling ),12,80%,Inferred: Civil/Structural Works Complete for Toilet,2025-04-30,2025-05-01,2025-05-13,Civil ready (per Predecessor Report).,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Toilet,FA ( Device Installation ),0,30%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Toilet,HVAC System,10,0٫95,Inferred: Civil/Structural Works Complete for Toilet,2025-04-30,2025-05-01,2025-05-06,Civil ready. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Store Room,Fire Alarm ( conduiting+cabling ),3,0٫7,Paint In progress,,,,conduiting almost done. duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Store Room,FA ( Device Installation ),0,35%,,,,,pending,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Fire Protection Room,Firefighting,12,0,Inferred: Civil/Structural Works Complete for Fire Prot. Room,2025-05-01,2025-05-02,2025-05-14,Depends on Civil room readiness (used FM200 Room date as proxy). Might also depend on later FM200 equipment installation.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Fire Protection Room,Fire Alarm ( conduiting+cabling ),12,0٫82,Inferred: Civil/Structural Works Complete for Fire Prot. Room,2025-05-01,2025-05-02,2025-05-06,conduiting almost done. duration adjusted as per progress.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Fire Protection Room,FA ( Device Installation ),0,40%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Fire Protection Room (installation),HVAC System,10,1,Inferred: Civil/Structural Works Complete for Fire Prot. Room,2025-05-01,2025-05-02,2025-05-03,Civil ready. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Fire Protection Room  (TEST),HVAC System,10,0,Inferred: Civil/Structural Works Complete for Fire Prot. Room,2025-05-01,2025-08-01,2025-08-10,Civil ready. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Staircase,Fire Alarm ( conduiting+cabling ),6,0٫65,Inferred: Civil/Structural Works Complete for Staircase,2025-04-30,2025-05-01,2025-05-06,Civil ready (per Predecessor Report). Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Staircase,FA ( Device Installation ),0,20%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Basement,Fire Alarm ( conduiting+cabling ),12,0٫85,Inferred: Civil/Structural Works Complete for Basement,2025-04-30,2025-05-01,2025-05-03,conduiting & cabling almost done. drops remaining.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Basement,FA ( Device Installation ),0,30%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Basement,HVAC System,10,25%,Inferred: Civil/Structural Works Complete for Basement,2025-04-30,2025-05-01,2025-05-11,Civil ready.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Corridor,Fire Alarm ( conduiting+cabling ),12,0٫88,Inferred: Civil/Structural Works Complete for Corridor,2025-05-07,2025-05-08,2025-05-13,conduiting completed .upon cylinder delivery all rooms cables will be connected to FM-200 room.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Corridor,FA ( Device Installation ),0,60%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Control Building Corridor,HVAC System,10,100%,Inferred: Civil/Structural Works Complete for Corridor,2025-05-07,2025-05-08,2025-05-11,Depends on Civil works completion in the corridor. Duration adjusted.,21,12,11,11,55
2025-09-01,Mechanical Plan,"PE-263 FM200 Room FM200 Room ( CYLINDER
INSTALLATION )",FM200 Activity (System Install),20,0,Installation FOR FM200 Cylinders (Material Delivery/Install),2025-08-19,2025-08-20,2025-09-09,"Critically dependent on FM200 Cylinder delivery and installation (late date per Overall Plan). Predecessor is the installation itself, starts right after.",21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 Ground,Firefighting,10,0٫9,Inferred: Civil/Structural Works Complete ,2025-04-29,2025-04-30,2025-05-13,remaining piping will be done after ceiling.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 Ground,Fire Alarm ( conduiting+cabling ),10,0٫86,Inferred: Civil/Structural Works Complete ,2025-04-25,2025-04-26,2025-05-15,remaining piping will be done after ceiling.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 Ground,FA ( Device Installation ),0,0٫25,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 ( cylinder Room ) Cylinder Room,Fire Fighting,0,0٫6,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 ( cylinder Room ) Cylinder Room,Fire Alarm ( conduiting+cabling ),0,30 %,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 Ground,DDC PANEL TEMANTIONS,0,0٫53,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 Ground,HVAC System,10,100%,Inferred: Civil/Structural Works Complete ,2025-04-27,2025-04-28,2025-05-17,Inferred: Civil/Structural Works Complete ,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 Customer Building 1 External Ducts,HVAC System,0,1,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 TRANSFORMERS Outdoor,support & Ring installation,0,0٫1,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 TRANSFORMERS Outdoor,Fire Alarm (Conduiting & Cabling),0,,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 TRANSFORMERS Outdoor,Fire Alarm (Device Installation),0,,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 HGIS CONTAINERS Outdoor,Fire Alarm (Conduiting & Cabling),0,50%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 HGIS CONTAINERS Outdoor,Fire Alarm (Device Installation),0,20%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 HGIS CONTAINERS Outdoor,Fire Fighting ( piping network ),0,80%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-263 HGIS CONTAINERS Outdoor,Cylinder Installation ,0,,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Ground Floor,Fire Fighting ( piping network ),22,0,-,,2025-05-25,2025-06-25,"Based on actual durations from P.263 (85th percentile), considering typical delays. Requires material availability and inspection.",21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Ground Floor,Fire Fighting (Pressure Test & Leak Correction),7,0,1,2025-06-25,2025-06-26,2025-07-06,Based on similar durations in P.263.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Ground Floor,Fire Alarm (Conduiting & Cabling),18,0,1,2025-06-25,2025-06-26,2025-07-17,"Based on actual durations from P.263 (75th percentile), with adjustment for potential material delays. Can commence after reasonable progress in FF Piping works.",21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Ground Floor,Fire Alarm (Device Installation),10,0,3,2025-07-17,2025-07-20,2025-07-31,Assumes device availability. Risk of delay if not delivered and inspected on time.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Basement,Fire Alarm (Conduiting & Cabling),20,0٫15,-,,2025-05-25,2025-06-19,Can start in parallel with ground floor subject to resource availability. Duration adjusted for basement complexity based on P.263.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Basement,Fire Alarm (Device Installation),12,0,5,2025-06-19,2025-06-22,2025-07-07,Duration adjusted for basement complexity.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Roof / Main AHU Area,HVAC (AHU & Fan Installation),8,0,-,,2025-05-25,2025-06-03,Based on 5 actual days from P.263 with adjustment for realism and accounting for lifting and fixing works.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Ceiling / Distribution Paths,HVAC (Main Ducting - Rough-in),87,100%,7,2025-06-03,2025-06-04,2025-06-19,"(Taken from Output 2, duration 10 days * 1.3) Depends on ceiling completion and installation of duct hangers. Includes Supply & Return.",21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Ceiling / Distribution Paths,HVAC (Duct Insulation),10,0,8,2025-06-19,2025-06-22,2025-07-03,(Taken from Output 2),21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 110kV GIS Building Basement / Service Areas,HVAC (FCU/Package Unit Installation),7,0,-,,2025-05-25,2025-06-02,"Estimate based on basement scope, assuming civil works completion.",21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 Customer Building #2 Ground / Main Area,Fire Fighting (Piping Installation),15,0٫8,-,,2025-05-20,2025-06-09,Adjusted from Customer Building #1 in P.263. Assumes similar scope and material availability.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 Customer Building #2 Ground / Main Area,Fire Fighting (Pressure Test & Leak Correction),5,0,11,2025-06-09,2025-06-10,2025-06-16,Standard activity following piping installation.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 Customer Building #2 Ground / Main Area,Fire Alarm (Conduiting & Cabling),15,0٫4,11,2025-06-09,2025-06-10,2025-06-26,Based on 10 actual days with adjustment for material inspection from P.263.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 Customer Building #2 Ground / Main Area,Fire Alarm (Device Installation),8,0,13,2025-06-26,2025-06-29,2025-07-08,Assumes device availability.,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 CUSTOMER BUILDING #2 Cylinder Room,FIRE FIGHTING,0,,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 CUSTOMER BUILDING #2 Cylinder Room,Fire Alarm (Conduiting & Cabling),0,,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 CUSTOMER BUILDING #2 Ground,DDC PANEL TEMANTIONS,0,40%,,,,,,21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 Customer Building #2 External Ducts,HVAC (AHU/FCU Installation),12,0٫95,-,,2025-05-20,2025-06-04,Based on 10 actual days from P.263 with adjustment for realism. (Output 1),21,12,11,11,55
2025-09-01,Mechanical Plan,PE-301 Customer Building #2 Inside Building hvac works,HVAC (Ducting & Insulation),13,100%,15,2025-06-04,2025-06-05,2025-06-22,(Output 2),21,12,11,11,55
